Year,State,Route,SpeciesTotal
1980,2,1,987
1980,2,2,1006
1980,2,4,755
1980,2,5,526
1980,2,6,726
1980,2,7,1041
1980,2,9,991
1980,2,11,842
1980,2,12,391
1980,2,13,637
1980,2,14,732
1980,2,15,771
1980,2,16,974
1980,2,17,732
1980,2,19,690
1980,2,20,887
1980,2,22,822
1980,2,23,814
1980,2,24,898
1980,2,25,866
1980,2,26,439
1980,2,27,1039
1980,2,29,1537
1980,2,32,530
1980,2,33,375
1980,2,34,822
1980,2,35,384
1980,2,36,849
1980,2,38,542
1980,2,39,915
1980,2,41,740
1980,2,43,670
1980,2,44,1266
1980,2,45,502
1980,2,46,1308
1980,2,48,879
1980,2,51,629
1980,6,1,422
1980,6,2,240
1980,6,14,1138
1980,6,18,307
1980,6,19,362
1980,6,23,214
1980,6,24,1452
1980,6,27,1027
1980,6,28,950
1980,6,29,165
1980,6,30,589
1980,6,31,678
1980,6,32,1078
1980,6,33,688
1980,6,133,408
1980,7,1,519
1980,7,2,1108
1980,7,3,450
1980,7,4,760
1980,7,5,600
1980,7,6,441
1980,7,7,502
1980,7,8,1025
1980,7,9,743
1980,7,10,1430
1980,7,11,729
1980,7,12,633
1980,7,13,573
1980,7,14,720
1980,7,16,1135
1980,7,17,665
1980,7,18,678
1980,7,19,749
1980,7,20,359
1980,7,21,853
1980,7,22,895
1980,7,23,311
1980,7,24,620
1980,7,25,666
1980,7,26,829
1980,7,27,800
1980,7,28,478
1980,7,29,1084
1980,14,1,883
1980,14,3,1128
1980,14,4,623
1980,14,5,1363
1980,14,6,451
1980,14,8,374
1980,14,9,448
1980,14,10,653
1980,14,11,610
1980,14,12,2012
1980,14,13,268
1980,14,14,1118
1980,14,15,901
1980,14,18,201
1980,14,20,802
1980,14,21,1901
1980,14,22,534
1980,14,25,1166
1980,14,26,968
1980,14,27,1440
1980,14,28,888
1980,14,32,859
1980,14,34,577
1980,14,35,413
1980,14,38,1041
1980,14,39,725
1980,14,41,349
1980,14,42,585
1980,14,45,881
1980,14,46,880
1980,14,47,550
1980,14,51,420
1980,14,52,1312
1980,14,53,767
1980,14,54,1537
1980,14,55,953
1980,14,57,503
1980,14,60,355
1980,14,64,203
1980,14,66,902
1980,14,71,1044
1980,14,72,1027
1980,14,73,574
1980,14,74,372
1980,14,75,785
1980,14,76,512
1980,14,77,619
1980,14,78,357
1980,14,79,850
1980,14,80,2524
1980,14,81,666
1980,14,82,584
1980,14,83,965
1980,14,88,108
1980,14,89,1712
1980,14,91,1314
1980,14,92,1612
1980,14,93,779
1980,14,94,210
1980,14,95,321
1980,14,103,592
1980,14,105,540
1980,14,108,784
1980,14,109,217
1980,14,110,742
1980,14,111,980
1980,14,112,246
1980,14,113,483
1980,14,114,561
1980,14,116,153
1980,14,117,704
1980,14,118,564
1980,14,120,1807
1980,14,121,369
1980,14,122,505
1980,14,123,1003
1980,14,124,49
1980,14,125,303
1980,14,126,328
1980,14,128,400
1980,14,129,692
1980,14,131,411
1980,14,132,410
1980,14,133,1178
1980,14,134,859
1980,14,136,603
1980,14,139,246
1980,14,140,685
1980,14,141,800
1980,14,145,1419
1980,14,147,1418
1980,14,148,2965
1980,14,151,440
1980,14,152,3642
1980,14,153,1568
1980,14,154,549
1980,14,155,1471
1980,14,156,630
1980,14,157,1367
1980,14,159,774
1980,14,160,636
1980,14,161,340
1980,14,163,1113
1980,14,164,303
1980,14,165,513
1980,14,166,4557
1980,14,167,603
1980,14,168,931
1980,14,169,615
1980,14,172,777
1980,14,174,229
1980,14,175,430
1980,14,176,756
1980,14,178,485
1980,14,179,1513
1980,14,180,260
1980,14,181,403
1980,14,182,559
1980,14,183,540
1980,14,185,395
1980,14,186,846
1980,14,187,1534
1980,14,188,620
1980,14,189,1230
1980,14,190,1599
1980,14,193,843
1980,14,194,464
1980,14,195,862
1980,14,197,1036
1980,14,198,798
1980,14,199,436
1980,14,200,398
1980,14,201,339
1980,14,202,757
1980,14,203,1773
1980,14,204,418
1980,14,205,602
1980,17,2,682
1980,17,4,754
1980,17,5,812
1980,17,6,885
1980,17,7,1372
1980,17,9,715
1980,17,10,574
1980,17,11,276
1980,17,12,550
1980,17,13,618
1980,17,14,814
1980,17,15,199
1980,17,16,558
1980,17,17,616
1980,17,18,907
1980,17,21,1768
1980,17,22,1083
1980,17,23,1142
1980,17,25,118
1980,17,26,491
1980,17,27,523
1980,17,28,1420
1980,18,1,678
1980,18,2,540
1980,18,3,732
1980,18,4,373
1980,18,5,454
1980,18,6,551
1980,18,7,770
1980,18,8,686
1980,18,9,605
1980,18,10,588
1980,18,11,744
1980,18,12,800
1980,18,13,863
1980,18,14,789
1980,18,15,615
1980,18,16,599
1980,21,1,668
1980,21,3,980
1980,21,4,1018
1980,21,6,774
1980,21,7,963
1980,21,8,747
1980,21,10,822
1980,25,1,451
1980,25,2,409
1980,25,3,483
1980,25,4,449
1980,25,5,535
1980,25,6,740
1980,25,7,498
1980,25,8,489
1980,25,9,474
1980,25,10,708
1980,25,11,553
1980,25,12,706
1980,25,14,901
1980,25,15,463
1980,25,16,685
1980,25,18,496
1980,25,19,348
1980,25,20,997
1980,25,21,495
1980,25,22,1261
1980,25,23,1170
1980,25,24,819
1980,25,26,624
1980,25,27,698
1980,25,30,803
1980,25,31,1241
1980,25,36,620
1980,25,37,383
1980,25,38,562
1980,25,39,809
1980,25,40,1173
1980,25,132,509
1980,27,3,279
1980,27,4,646
1980,27,6,1062
1980,27,7,773
1980,27,8,309
1980,27,9,551
1980,27,10,801
1980,27,11,324
1980,27,12,724
1980,27,13,744
