Year,Aou,SpeciesTotal
1980,12,457
1980,20,6
1980,30,6
1980,40,1151
1980,60,243
1980,70,111
1980,150,32
1980,230,4
1980,290,17
1980,300,529
1980,440,260
1980,470,46
1980,490,256
1980,510,1926
1980,530,1333
1980,534,88
1980,540,2918
1980,570,36
1980,580,2166
1980,590,799
1980,630,12
1980,634,25
1980,640,25
1980,650,24
1980,660,1
1980,670,2
1980,690,153
1980,700,127
1980,740,166
1980,770,294
1980,800,130
1980,1180,40
1980,1200,473
1980,1210,42
1980,1220,142
1980,1230,90
1980,1250,445
1980,1260,139
1980,1290,61
1980,1300,2
1980,1310,14
1980,1320,4127
1980,1330,65
1980,1340,85
1980,1350,547
1980,1370,153
1980,1390,125
1980,1400,905
1980,1410,119
1980,1420,206
1980,1430,618
1980,1440,488
1980,1460,378
1980,1470,45
1980,1490,161
1980,1500,36
1980,1510,11
1980,1530,4
1980,1670,384
1980,1720,1392
1980,1770,92
1980,1780,19
1980,1782,34
1980,1810,37
1980,1830,36
1980,1840,568
1980,1860,147
1980,1870,369
1980,1880,33
1980,1900,174
1980,1910,40
1980,1920,16
1980,1940,1286
1980,1960,1065
1980,1970,139
1980,1980,1
1980,1990,76
1980,2000,641
1980,2001,6612
1980,2010,1227
1980,2020,162
1980,2030,68
1980,2060,273
1980,2070,1
1980,2080,32
1980,2110,42
1980,2120,8
1980,2140,123
1980,2150,1
1980,2160,1
1980,2180,9
1980,2190,172
1980,2210,1139
1980,2240,306
1980,2250,405
1980,2260,195
1980,2280,24
1980,2300,902
1980,2490,137
1980,2580,351
1980,2610,1231
1980,2630,269
1980,2640,371
1980,2730,9930
1980,2770,1
1980,2780,9
1980,2810,56
1980,2860,4
1980,2870,6
1980,2881,156
1980,2882,84
1980,2890,21625
1980,2920,581
1980,2930,540
1980,2940,1939
1980,2950,395
1980,2960,4
1980,2970,3
1980,2971,20
1980,2980,1
1980,3000,90
1980,3050,96
1980,3070,1
1980,3080,142
1980,3090,153
1980,3091,9506
1980,3100,155
1980,3120,758
1980,3131,14027
1980,3140,60
1980,3151,47
1980,3160,51637
1980,3180,2
1980,3190,527
1980,3200,346
1980,3210,58
1980,3250,3478
1980,3260,540
1980,3270,4
1980,3280,69
1980,3290,175
1980,3300,5
1980,3310,345
1980,3320,39
1980,3330,55
1980,3333,1
1980,3340,10
1980,3350,34
1980,3370,1275
1980,3390,341
1980,3410,4
1980,3420,321
1980,3430,151
1980,3451,18
1980,3460,1
1980,3480,62
1980,3490,79
1980,3520,9
1980,3550,30
1980,3560,2
1980,3570,5
1980,3600,1513
1980,3620,30
1980,3640,122
1980,3650,16
1980,3660,3
1980,3670,34
1980,3680,177
1980,3690,1
1980,3720,2
1980,3730,18
1980,3732,8
1980,3740,1
1980,3750,288
1980,3780,254
1980,3790,8
1980,3810,1
1980,3830,6
1980,3840,7
1980,3850,168
1980,3870,6120
1980,3880,837
1980,3890,3
1980,3900,691
1980,3910,2
1980,3930,798
1980,3940,3126
1980,3950,12
1980,3960,184
1980,3970,246
1980,3975,8
1980,3990,40
1980,4000,8
1980,4020,533
1980,4021,68
1980,4022,3
1980,4030,76
1980,4040,23
1980,4050,998
1980,4060,2574
1980,4070,1170
1980,4080,20
1980,4090,4680
1980,4100,282
1980,4110,103
1980,4120,4389
1980,4123,11
1980,4130,1042
1980,4140,17
1980,4160,714
1980,4171,333
1980,4180,44
1980,4190,3
1980,4200,2657
1980,4210,110
1980,4220,68
1980,4230,10646
1980,4240,68
1980,4250,380
1980,4280,423
1980,4290,66
1980,4300,80
1980,4310,186
1980,4320,195
1980,4330,90
1980,4340,73
1980,4360,16
1980,4402,63
1980,4410,2
1980,4430,2303
1980,4440,7114
1980,4450,17
1980,4451,1
1980,4470,4325
1980,4480,428
1980,4490,3
1980,4520,4559
1980,4530,180
1980,4540,1827
1980,4550,40
1980,4560,2594
1980,4570,470
1980,4580,239
1980,4590,641
1980,4600,2
1980,4610,4837
1980,4620,1812
1980,4630,49
1980,4640,135
1980,4641,723
1980,4642,4
1980,4650,1500
1980,4660,1241
1980,4661,675
1980,4670,2076
1980,4679,26
1980,4680,256
1980,4690,312
1980,4691,53
1980,4710,34
1980,4720,2
1980,4740,24367
1980,4750,1607
1980,4760,652
1980,4770,16008
1980,4780,1317
1980,4790,17
1980,4810,7
1980,4812,1890
1980,4813,116
1980,4820,165
1980,4830,4
1980,4840,58
1980,4860,1820
1980,4870,433
1980,4880,37494
1980,4900,1562
1980,4910,121
1980,4920,451
1980,4930,75674
1980,4940,5903
1980,4950,21482
1980,4960,177
1980,4970,5129
1980,4980,113311
1980,5000,3847
1980,5010,26892
1980,5011,34792
1980,5012,102
1980,5030,2
1980,5040,243
1980,5050,41
1980,5060,2695
1980,5070,5125
1980,5077,38
1980,5080,1328
1980,5090,2
1980,5100,16039
1980,5110,74473
1980,5120,2118
1980,5130,1435
1980,5140,730
1980,5150,4
1980,5170,1333
1980,5180,404
1980,5190,6717
1980,5210,366
1980,5240,2
1980,5290,8281
1980,5300,1231
1980,5310,73
1980,5330,914
1980,5380,1698
1980,5390,104
1980,5400,6098
1980,5420,5517
1980,5450,166
1980,5460,3993
1980,5470,62
1980,5480,21
1980,5491,3
1980,5500,43
1980,5520,3186
1980,5540,664
1980,5580,2694
1980,5600,12162
1980,5610,749
1980,5620,2197
1980,5630,7372
1980,5650,69
1980,5660,84
1980,5670,412
1980,5671,1763
1980,5677,6
1980,5690,45
1980,5700,2
1980,5730,1427
1980,5738,958
1980,5739,114
1980,5740,49
1980,5750,191
1980,5760,5
1980,5780,2683
1980,5790,1
1980,5800,209
1980,5810,18897
1980,5830,119
1980,5840,534
1980,5850,519
1980,5860,21
1980,5870,9038
1980,5880,2344
1980,5900,560
1980,5910,238
1980,5911,1172
1980,5920,5
1980,5930,22307
1980,5940,639
1980,5950,3061
1980,5960,1648
1980,5970,2730
1980,5980,19232
1980,5990,499
1980,6000,4
1980,6010,1256
1980,6040,9599
1980,6050,9155
1980,6070,1589
1980,6080,2862
1980,6090,28
1980,6100,1835
1980,6110,7444
1980,6120,26076
1980,6121,156
1980,6130,30828
1980,6140,4749
1980,6150,1854
1980,6160,3259
1980,6170,2684
1980,6190,4843
1980,6200,169
1980,6220,1781
1980,6230,13
1980,6240,14574
1980,6260,10
1980,6270,3094
1980,6280,883
1980,6290,560
1980,6291,317
1980,6292,101
1980,6300,3
1980,6310,3035
1980,6320,168
1980,6330,260
1980,6340,8
1980,6360,1323
1980,6370,396
1980,6380,30
1980,6390,150
1980,6410,335
1980,6412,2
1980,6420,147
1980,6430,195
1980,6440,80
1980,6450,1408
1980,6460,622
1980,6470,68
1980,6480,1050
1980,6490,1
1980,6500,39
1980,6520,6303
1980,6540,298
1980,6550,738
1980,6560,952
1980,6570,507
1980,6580,118
1980,6590,2727
1980,6600,47
1980,6610,6
1980,6620,486
1980,6630,284
1980,6640,35
1980,6650,455
1980,6660,3
1980,6670,769
1980,6680,182
1980,6690,359
1980,6710,2127
1980,6720,2
1980,6730,1126
1980,6740,6270
1980,6750,203
1980,6760,238
1980,6770,733
1980,6780,24
1980,6790,628
1980,6800,400
1980,6810,16246
1980,6830,4396
1980,6840,666
1980,6850,587
1980,6860,352
1980,6870,2220
1980,6880,11
1980,6882,91808
1980,6883,13
1980,6900,22
1980,6970,2
1980,7000,59
1980,7010,20
1980,7020,1835
1980,7030,18941
1980,7040,8455
1980,7050,5358
1980,7060,4
1980,7070,132
1980,7080,39
1980,7100,222
1980,7110,43
1980,7120,21
1980,7130,804
1980,7150,692
1980,7170,117
1980,7180,4805
1980,7190,1685
1980,7210,7993
1980,7221,262
1980,7222,329
1980,7240,425
1980,7250,443
1980,7260,291
1980,7270,1829
1980,7280,947
1980,7290,443
1980,7300,315
1980,7310,5781
1980,7320,247
1980,7330,1032
1980,7331,35
1980,7332,1
1980,7340,43
1980,7350,4411
1980,7360,4094
1980,7370,1
1980,7380,1289
1980,7400,3
1980,7410,617
1980,7420,991
1980,7430,1046
1980,7460,233
1980,7480,495
1980,7490,454
1980,7510,2013
1980,7520,59
1980,7540,118
1980,7550,10141
1980,7560,3951
1980,7580,1644
1980,7590,1361
1980,7610,48452
1980,7630,280
1980,7660,2555
1980,7670,504
1980,7680,722
1981,12,246
1981,20,8
1981,30,1
1981,40,1150
1981,50,2
1981,60,205
1981,70,90
1981,150,11
1981,290,18
1981,300,48
1981,440,103
1981,470,37
1981,490,310
1981,510,1202
1981,530,1002
1981,534,309
1981,540,3003
1981,570,11
1981,580,3147
1981,590,888
1981,630,23
1981,634,13
1981,640,86
1981,650,56
1981,670,24
1981,690,182
1981,700,78
1981,720,15
1981,740,294
1981,770,304
1981,800,29
1981,1180,20
1981,1200,434
1981,1210,4
1981,1220,23
1981,1230,40
1981,1250,315
1981,1260,252
1981,1280,11
1981,1290,99
1981,1300,1
1981,1320,3807
1981,1330,74
1981,1340,103
1981,1350,516
1981,1370,110
1981,1390,100
1981,1400,618
1981,1410,230
1981,1420,440
1981,1430,1097
1981,1440,441
1981,1460,430
1981,1470,88
1981,1490,266
1981,1500,7
1981,1510,3
1981,1520,7
1981,1530,5
1981,1670,514
1981,1720,1456
1981,1770,36
1981,1780,13
1981,1782,48
1981,1810,3
1981,1830,44
1981,1840,220
1981,1860,64
1981,1870,419
1981,1880,22
1981,1900,175
1981,1910,13
1981,1940,1415
1981,1960,1070
1981,1970,205
1981,1980,4
1981,1990,51
1981,2000,646
1981,2001,10035
1981,2010,1071
1981,2020,186
1981,2030,72
1981,2060,338
1981,2070,2
1981,2080,14
1981,2110,43
1981,2120,11
1981,2140,155
1981,2150,1
1981,2160,1
1981,2180,12
1981,2190,167
1981,2210,2146
1981,2240,344
1981,2250,391
1981,2260,453
1981,2280,35
1981,2300,888
1981,2490,111
1981,2580,288
1981,2610,1253
1981,2630,339
1981,2640,346
1981,2730,9063
1981,2780,4
1981,2800,2
1981,2810,17
1981,2860,7
1981,2870,7
1981,2881,167
1981,2882,118
1981,2890,21318
1981,2920,402
1981,2930,708
1981,2940,1647
1981,2950,364
1981,2960,4
1981,2970,4
1981,2971,12
1981,2973,6
1981,3000,68
1981,3050,76
1981,3070,7
1981,3080,73
1981,3090,145
1981,3091,8785
1981,3100,146
1981,3120,751
1981,3131,13599
1981,3140,36
1981,3151,51
1981,3160,56721
1981,3180,6
1981,3190,690
1981,3200,313
1981,3210,62
1981,3250,3111
1981,3260,549
1981,3270,15
1981,3280,103
1981,3290,140
1981,3310,372
1981,3320,40
1981,3330,64
1981,3333,4
1981,3340,16
1981,3350,42
1981,3370,1286
1981,3390,301
1981,3410,5
1981,3420,305
1981,3430,219
1981,3451,14
1981,3480,58
1981,3490,75
1981,3520,9
1981,3550,34
1981,3560,1
1981,3570,2
1981,3600,1668
1981,3620,20
1981,3640,124
1981,3650,8
1981,3670,39
1981,3680,128
1981,3690,3
1981,3700,2
1981,3720,1
1981,3730,21
1981,3732,4
1981,3750,330
1981,3780,341
1981,3790,20
1981,3810,1
1981,3830,5
1981,3840,11
1981,3850,129
1981,3870,6177
1981,3880,799
1981,3900,593
1981,3910,2
1981,3930,760
1981,3940,3097
1981,3950,11
1981,3960,155
1981,3970,272
1981,3975,2
1981,3990,71
1981,4000,18
1981,4020,404
1981,4021,100
1981,4022,1
1981,4030,80
1981,4040,14
1981,4050,1027
1981,4060,2689
1981,4070,1655
1981,4080,29
1981,4090,4725
1981,4100,314
1981,4110,79
1981,4120,4271
1981,4123,3
1981,4130,1218
1981,4140,26
